SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.47884187100000003,3,0,0.670705847,3300.0,3,0,2,0,0.0
0,0.556494864,2,2,0.171746493,6200.0,7,1,0,0,0.0
0,0.038507785,3,0,0.021885031,3426.0,9,0,0,0,0.0
0,0.910463658,4,0,2.325782811,1500.0,11,0,2,0,0.0
0,0.9700018990000001,4,1,0.201542637,7000.0,5,0,0,0,2.0
0,0.46110762,7,0,1.011625203,4300.0,12,0,1,0,0.0
0,0.157949322,5,0,0.324272939,14200.0,11,0,2,0,0.0
0,0.026996625,2,0,0.007308161,820.0,4,0,0,0,0.0
0,0.808959552,3,0,0.44342659100000004,4038.0,5,0,1,0,1.0
0,0.005539889,8,1,0.186897306,10058.0,12,0,2,0,0.0
1,0.942902569,5,0,0.5191189970000001,13075.0,14,3,2,2,1.0
0,0.016518341000000002,5,0,0.0031243490000000002,4800.0,4,0,0,0,0.0
0,0.072582643,4,0,0.23546423100000002,13139.0,16,0,4,0,1.0
0,0.0,2,0,0.0,864.0,2,0,0,0,0.0
1,0.9999998999999999,3,2,0.362155689,4174.0,6,0,2,0,0.0
0,0.029035836000000002,7,0,0.015328224,3000.0,7,0,0,0,0.0
0,0.44830206799999994,7,0,0.412184674,2100.0,2,0,0,0,0.0
0,0.53212558,3,0,0.42067205399999996,2350.0,7,0,0,0,0.0
0,0.9999998999999999,4,0,0.061936113,4100.0,1,0,0,0,2.0
0,0.057080531,2,0,0.002646281,3400.0,2,0,0,0,0.0
1,0.004701008,6,0,0.000499917,6000.0,3,0,0,1,0.0
0,0.264904712,4,0,0.47616033799999996,4739.0,16,0,1,0,0.0
0,0.1128547,3,0,0.46166842700000005,4734.0,9,0,2,0,3.0
0,0.048718051,6,2,0.146699267,1635.0,5,0,0,0,1.0
0,0.153753958,4,0,0.346324618,6080.0,5,0,2,0,1.0
0,0.903137108,4,1,0.35172872299999997,3007.0,2,0,1,0,1.0
1,0.19439260600000002,4,0,0.47155080200000005,9349.0,9,0,3,0,1.0
0,0.15088123,4,0,0.014830862,6000.0,3,0,0,0,3.0
0,0.0017244720000000001,5,0,0.243292785,6000.0,17,0,2,0,0.0
0,0.115213044,3,0,0.29387298,6250.0,2,0,1,0,0.0
0,0.442874445,4,0,0.9456072520000001,7500.0,7,0,2,0,3.0
0,0.160183982,6,0,0.356766801,3228.0,4,0,1,0,0.0
0,0.138474973,3,1,0.349054245,12000.0,11,0,5,0,0.0
0,0.0,5,0,0.238711715,9500.0,8,0,1,0,2.0
0,0.0013512779999999998,3,0,0.19284603399999997,4500.0,12,0,1,0,4.0
0,0.192336085,6,0,1.82674772,6250.0,9,0,5,0,2.0
1,0.447510498,4,2,0.22111876800000002,4933.0,3,1,0,0,3.0
0,0.32078877899999997,7,0,0.6597462510000001,2600.0,7,0,1,0,0.0
1,0.969225082,5,0,0.662175168,3116.0,17,0,2,0,0.0
0,0.9999998999999999,7,0,0.19520120000000002,4000.0,1,0,0,0,1.0
0,0.00679322,5,0,0.37371565700000003,40000.0,14,0,3,0,4.0
1,0.878940155,5,0,0.595330739,8223.0,21,0,1,0,0.0
0,0.067138657,6,0,0.068842199,11184.0,6,0,0,0,1.0
0,0.17286968100000003,4,0,0.16079196,6666.0,7,0,1,0,1.0
0,0.9999998999999999,3,0,0.274362819,1333.0,1,1,0,1,1.0
0,0.0,6,0,2.7016229710000004,800.0,4,0,1,0,0.0
0,0.9999998999999999,3,0,0.0,3000.0,0,0,0,0,0.0
0,0.120099485,3,0,0.232264334,4115.0,4,0,1,0,2.0
0,0.606124194,5,2,0.550985433,3500.0,15,0,1,0,0.0
0,0.558077942,4,0,0.779352553,6208.0,11,0,2,2,3.0
0,0.002897431,4,0,0.147031683,3250.0,9,0,1,0,0.0
0,0.9999998999999999,7,1,0.46254332200000003,3750.0,11,0,1,0,0.0
0,0.030525732000000003,8,0,0.013424736000000001,3500.0,10,0,0,1,0.0
0,0.053747313,5,0,0.169426911,16000.0,6,0,2,0,3.0
0,0.0,2,0,0.148925537,2000.0,2,0,0,0,2.0
0,0.12099193400000001,7,0,0.10671936800000001,4300.0,7,0,0,0,0.0
0,0.21141272,6,1,0.40284685299999995,5830.0,16,0,1,0,1.0
0,0.21269632600000002,6,0,0.318143637,4761.0,7,0,0,0,2.0
0,0.10036789199999999,5,0,0.47453703700000005,4319.0,9,0,1,0,2.0
1,1.0905397959999998,5,1,0.840594394,2960.0,15,1,1,2,0.0
0,0.017954979,5,0,0.21850419899999998,7500.0,13,0,2,0,1.0
0,0.043009161,6,0,0.35950127,4330.0,9,0,1,0,1.0
0,0.052215635999999996,6,0,0.293052632,4749.0,10,0,2,0,0.0
0,0.9999998999999999,2,0,0.050526885,3700.0,2,0,0,0,0.0
0,0.0005216940000000001,5,0,0.360882573,5347.0,8,0,2,0,0.0
1,0.36331569700000005,3,0,0.50129199,1160.0,4,0,0,0,4.0
0,0.9082701609999999,5,1,0.659661294,4900.0,8,0,1,0,2.0
0,0.042680575,6,0,0.289358918,4585.0,11,0,1,0,2.0
0,0.106167384,4,0,0.279786702,6000.0,6,0,1,0,2.0
0,0.024911552000000003,6,0,0.00299976,8333.0,11,0,0,0,0.0
0,0.213655997,6,0,0.177996178,7325.0,6,0,1,0,1.0
0,0.0,4,1,0.18752142600000002,5833.0,7,0,0,0,3.0
0,0.031134948,8,0,0.043912176,500.0,12,0,0,0,0.0
0,0.9999998999999999,7,0,0.22636378199999999,6250.0,7,0,2,0,0.0
0,0.0,6,0,0.0,4900.0,3,0,0,0,0.0
0,0.035313451,6,0,29.0,0.0,3,0,0,0,0.0
0,0.548523682,5,0,11481.0,0.0,11,0,5,0,3.0
0,0.044277807999999995,5,0,0.02435273,3900.0,6,0,0,0,4.0
0,0.029674245,5,0,0.031587365,2500.0,10,0,0,0,0.0
0,0.015088553999999999,5,0,0.002026959,9866.0,4,0,0,0,0.0
0,0.032306142,5,0,0.391663964,6165.0,19,0,1,0,0.0
0,0.006399146999999999,6,0,0.0006662230000000001,1500.0,3,0,0,0,0.0
0,0.0,4,1,0.25590299899999996,4700.0,9,0,1,0,1.0
0,0.031010767,5,0,0.342809673,10833.0,18,0,2,0,2.0
0,0.8787475020000001,2,0,0.054384018,900.0,2,0,0,0,0.0
0,0.488921504,4,0,0.8595760790000001,2641.0,10,0,1,0,1.0
0,0.252221076,5,1,0.15547576300000002,8354.0,26,0,0,0,0.0
0,0.03886538,7,0,0.016599685,5722.0,7,0,0,0,0.0
0,0.040536902,3,0,0.644091034,3646.0,11,0,1,0,0.0
0,0.036474087999999995,6,1,0.387241815,7116.0,8,0,1,0,0.0
0,0.398705935,4,0,0.267455424,6000.0,8,0,1,0,1.0
0,0.439091461,3,0,0.6837322020000001,3300.0,7,0,2,0,2.0
0,0.190364948,5,0,0.292588426,8000.0,14,0,2,0,1.0
0,0.062236197,3,0,0.31821853,8666.0,6,0,1,0,3.0
0,0.7402129890000001,3,0,0.35625568,3300.0,5,0,1,0,0.0
0,0.171961786,5,0,0.46670572200000005,5120.0,13,0,2,0,1.0
1,1.458471761,5,1,1.180455303,1800.0,3,1,1,0,0.0
0,0.7082152970000001,5,0,0.432088285,3533.0,4,0,1,0,2.0
0,0.098329431,5,0,0.224359585,10500.0,13,0,2,0,0.0
0,0.0,2,0,0.079178082,3649.0,1,0,0,0,0.0
0,0.21627503399999998,5,0,0.38870920299999995,3400.0,12,0,2,0,0.0
0,0.9999998999999999,8,0,0.0,1900.0,0,0,0,0,0.0
0,0.652389576,4,2,0.55977609,2500.0,7,0,1,0,2.0
1,0.95802099,4,0,0.424657534,1240.0,4,0,0,0,0.0
0,0.11808974,5,0,0.283643892,11591.0,8,0,2,0,1.0
0,0.0,6,0,0.0,2000.0,3,0,0,0,0.0
0,0.035686942,7,0,0.337380665,10788.0,10,0,2,0,0.0
0,0.290019667,7,0,0.172456886,4000.0,10,0,1,0,0.0
0,0.579014629,4,0,0.315595467,25500.0,8,0,2,0,2.0
1,0.873321916,4,1,0.276965687,6498.0,11,0,1,0,6.0
0,0.060878894,7,1,0.24220789199999998,13025.0,8,0,2,0,0.0
0,0.9999998999999999,3,0,0.233383308,2000.0,3,0,0,0,1.0
0,0.5373589120000001,4,0,0.24871251100000002,3300.0,7,0,1,0,0.0
0,0.047738065,3,0,0.130515931,7500.0,3,0,1,0,0.0
0,0.04499884,4,0,0.27098773800000003,7420.0,10,0,1,0,0.0
0,0.52649117,3,0,0.139519209,4450.0,4,0,0,0,2.0
0,0.9999998999999999,2,0,0.049987502999999996,4000.0,2,0,0,0,1.0
0,0.48088576299999997,5,2,0.275031199,10416.0,11,1,1,0,2.0
0,0.310505414,4,1,0.09608579099999999,9324.0,4,0,0,0,1.0
1,0.9999998999999999,5,3,0.526412265,6000.0,4,0,2,0,0.0
0,0.889515719,5,0,0.42814104,8961.0,8,0,1,0,0.0
0,0.234179272,3,0,0.241170033,10050.0,5,0,1,0,3.0
0,0.181757578,5,0,0.437683715,3401.0,7,0,1,0,0.0
0,0.123585783,6,0,0.08398024,1416.0,4,0,0,0,0.0
0,0.115880649,6,0,0.751976285,7083.0,8,0,4,0,0.0
0,0.16910641399999998,5,0,0.47303341200000004,3800.0,8,0,1,0,0.0
0,0.008998959,6,0,0.238626896,6000.0,27,0,1,0,0.0
0,0.029576755,4,0,0.41072015799999995,3040.0,10,0,2,0,2.0
0,0.614176728,5,2,0.519765999,5640.0,11,0,2,0,1.0
0,0.490883332,6,0,1.819556806,2842.0,13,0,2,0,0.0
0,0.018051522,7,0,0.03028283,10500.0,52,0,0,0,0.0
0,0.004973272,5,0,0.6572767270000001,17500.0,12,0,5,0,2.0
0,0.26851204300000003,4,0,0.384001419,11275.0,9,0,1,0,5.0
1,0.320545274,5,4,0.5301827579999999,5416.0,18,0,2,0,2.0
0,0.013899305,5,0,0.20209668,5150.0,3,0,1,0,2.0
0,0.157752956,7,0,0.36403913600000004,5416.0,16,0,2,0,0.0
0,0.058378172,2,0,0.014888337,2417.0,4,0,0,0,0.0
0,0.667907711,5,1,0.414101909,45000.0,17,0,4,0,3.0
0,3.30295672,3,0,0.318831136,19950.0,17,0,2,0,1.0
0,0.036162757999999996,3,0,0.21603919800000002,20000.0,8,0,1,0,1.0
0,0.36229081399999996,5,0,0.36480775200000004,9700.0,17,0,2,0,2.0
0,0.062489773,5,2,0.397253843,8520.0,12,0,2,0,0.0
0,0.36783412200000004,4,0,0.11498850099999999,10000.0,10,0,0,0,1.0
0,0.36690827299999995,7,0,0.010997251000000001,4000.0,1,0,0,0,1.0
0,0.38170101700000003,5,0,0.592110829,9455.0,12,0,1,0,0.0
0,0.0,4,0,0.22860652399999998,7326.0,11,0,2,0,1.0
0,0.056563046,5,1,0.263575351,9833.0,15,0,2,0,4.0
0,0.067570702,4,0,0.17057796,13166.0,9,0,1,0,2.0
0,0.056786302000000004,3,0,0.175074184,7750.0,14,0,2,0,0.0
0,0.349475847,5,1,0.331784668,9900.0,11,0,1,0,2.0
0,0.9999998999999999,3,0,0.12658227800000002,1500.0,1,0,0,0,0.0
1,0.6510497789999999,3,0,0.21590097600000002,4200.0,6,0,0,0,0.0
0,0.088845558,6,0,0.073772011,5394.0,5,0,0,0,0.0
0,0.058147565,5,0,0.069655057,6000.0,11,0,0,0,0.0
0,0.9076602029999999,4,0,0.129945856,2400.0,4,0,0,0,2.0
0,0.17976867300000002,3,0,0.333990401,11667.0,8,0,1,0,0.0
0,0.489959181,5,0,0.629144852,4583.0,6,0,2,0,1.0
0,0.004774675,5,0,0.474361772,9165.0,20,0,1,0,1.0
0,0.029273300000000002,6,0,0.019184652,1250.0,3,0,0,0,0.0
0,0.997200373,6,0,0.039922657,17583.0,3,0,0,0,0.0
0,0.581983372,5,0,0.8125344459999999,12700.0,10,0,3,0,1.0
0,0.427149648,6,1,0.9482629340000001,4000.0,21,0,1,0,0.0
0,1.149846687,3,1,0.213988343,1200.0,3,0,0,0,3.0
0,0.753324668,3,0,0.339441899,2400.0,6,0,1,0,1.0
0,0.029493071000000003,5,0,0.150154154,12000.0,14,0,2,0,1.0
0,0.239050425,5,0,0.36282628299999997,11109.0,8,0,2,0,1.0
0,0.071823497,4,0,0.312356741,4798.0,16,0,1,0,1.0
0,0.7867295190000001,5,0,0.257735389,9016.0,3,0,2,0,0.0
0,0.052947642,5,0,0.165897498,4116.0,7,0,0,0,0.0
0,0.086591341,6,0,0.156762984,10416.0,5,0,1,0,0.0
0,0.32010514,5,0,0.049824995,9713.0,9,0,0,0,1.0
0,0.088666016,4,0,0.09425878300000001,3500.0,4,0,0,0,3.0
0,0.369060405,3,0,0.19073255100000003,5200.0,4,0,0,0,2.0
0,0.11949468699999999,5,0,0.53056256,11500.0,7,0,2,0,1.0
0,0.112902925,6,0,0.026246718999999998,8000.0,7,0,0,0,0.0
1,0.707885432,5,0,5.968031967999999,1000.0,14,0,2,0,1.0
0,0.9244960440000001,4,0,0.567797774,7278.0,24,0,3,0,1.0
0,0.019813343,6,0,0.323261497,4500.0,13,0,1,0,0.0
0,0.483694074,4,0,0.181127549,2500.0,7,0,0,0,2.0
0,0.014974878999999998,7,0,0.26786654,9500.0,6,0,1,0,0.0
0,0.154675938,3,0,0.34323633299999995,8212.0,18,0,1,0,0.0
0,0.04424295,5,1,1.340975897,1700.0,16,0,2,1,0.0
0,0.270971635,5,0,0.73365165,4816.0,25,0,2,0,0.0
0,0.675237367,7,1,1.338436078,4833.0,13,0,2,0,0.0
0,0.190067972,5,0,1.676251642,6850.0,19,0,7,0,2.0
0,0.065465377,5,0,0.261733914,8500.0,8,0,1,0,3.0
0,0.616012957,5,3,0.471480245,7187.0,15,0,2,0,0.0
0,0.495459041,3,0,0.366726655,5000.0,13,0,0,0,1.0
0,0.80604511,5,0,0.36004761,5040.0,15,0,1,0,5.0
0,0.321796977,4,0,0.27864120800000003,4503.0,7,0,1,0,2.0
0,0.37552697,4,2,0.473860309,4781.0,7,0,1,0,3.0
1,0.873260612,4,4,0.482551745,10000.0,10,0,2,2,3.0
0,0.692307692,4,0,0.002856735,7000.0,1,0,0,0,3.0
0,0.08453521,3,0,0.124341029,5500.0,5,0,0,0,0.0
0,0.013789948,3,0,0.016793283,2500.0,5,0,0,0,0.0
0,0.453770639,3,0,0.471254791,6000.0,11,0,2,0,0.0
0,0.04880666400000001,5,1,0.377806989,9128.0,12,0,2,0,0.0
0,0.759524868,4,0,0.736636245,4601.0,9,0,1,0,2.0
0,0.182990388,6,0,0.349489241,4600.0,10,0,1,0,0.0
0,0.754146841,6,0,0.5076119060000001,4400.0,4,0,1,0,0.0
0,0.060899693,7,0,0.023068051000000003,4334.0,5,0,0,0,0.0
0,0.122516524,7,0,0.040802896,27350.0,11,0,2,0,0.0
0,0.004430633,3,0,0.083094556,5583.0,7,0,0,0,0.0
0,0.543660877,3,0,0.223990208,8169.0,11,0,0,0,1.0
0,0.19806068,4,0,0.251587638,9447.0,8,0,1,0,3.0
0,0.239728518,4,0,0.026573614,7450.0,2,2,0,0,1.0
0,0.0,5,1,0.32016893,17521.0,9,0,2,0,3.0
0,0.09558866,5,0,0.35053066,6783.0,19,0,2,0,0.0
0,0.598016502,5,0,0.298650784,16453.0,21,0,1,0,3.0
0,0.060364655,4,0,0.39264462,10250.0,8,0,2,0,2.0
1,1.0191626740000002,3,1,0.336850875,3600.0,4,0,0,0,0.0
0,0.570791241,5,0,0.072834646,4571.0,7,0,0,0,0.0
0,0.9999998999999999,4,0,0.287420161,3600.0,6,0,1,0,4.0
0,0.061093760999999996,5,0,0.440097646,15975.0,18,0,3,0,2.0
0,0.022392265,6,0,0.19787193100000003,15600.0,16,0,3,0,0.0
0,0.56987441,2,0,0.05050598,10869.0,9,0,0,0,0.0
0,0.019983361,6,0,0.037992402,5000.0,12,0,0,0,0.0
0,0.020875411,6,0,0.017408771,2986.0,11,0,0,0,1.0
0,0.705207282,6,3,0.571059038,6571.0,9,0,1,0,1.0
0,0.015169593,2,0,0.146951016,3000.0,5,0,0,0,0.0
0,0.066437642,6,0,0.121219695,4000.0,6,0,0,0,0.0
0,0.763209472,4,0,0.5384167639999999,1717.0,8,0,0,0,1.0
0,0.0,5,0,0.229249012,4300.0,4,0,0,0,0.0
0,0.385438625,3,0,0.44225721799999995,6095.0,8,0,1,0,1.0
0,0.005141899,6,0,0.277863777,3875.0,7,0,2,0,0.0
0,0.079299294,6,0,0.21010531899999998,7500.0,6,0,1,0,0.0
0,0.021949616,8,0,0.021991204,2500.0,6,0,0,0,0.0
0,0.9999998999999999,4,0,0.018711019,480.0,1,0,0,0,0.0
0,0.639122681,6,0,0.580963046,4464.0,6,0,1,0,0.0
0,0.00691609,8,0,0.000333278,6000.0,2,0,0,1,0.0
0,0.29375511,4,0,0.303517229,5600.0,7,0,0,0,0.0
0,0.36568551299999996,6,1,0.461769115,2000.0,6,0,0,0,0.0
0,0.04403898,6,0,0.09856204199999999,10500.0,28,0,0,0,0.0
0,0.361435813,8,0,0.13888888900000002,5291.0,6,0,1,0,0.0
0,0.049092712000000004,5,0,0.324469674,3346.0,2,0,1,0,0.0
0,0.626991807,6,0,0.304954305,2078.0,4,0,0,0,2.0
0,0.00729927,8,0,0.000444346,4500.0,1,0,0,0,0.0
0,0.012561715,3,0,0.136271061,5400.0,8,0,0,0,0.0
0,0.295434339,5,0,0.570589737,7833.0,20,0,3,0,2.0
0,0.222633955,7,1,0.32791802,4000.0,20,0,2,0,0.0
0,0.0,6,0,0.428892777,4000.0,7,0,1,0,0.0
0,0.09188863,4,0,0.177688125,5700.0,3,0,2,0,3.0
1,0.12170242699999999,4,1,0.567881329,3100.0,12,0,1,0,2.0
0,0.5170488120000001,7,0,0.465001934,18100.0,22,0,4,0,3.0
1,0.091960849,6,0,0.38958037,5623.0,18,0,2,0,2.0
0,0.7138432490000001,4,0,0.574797208,5300.0,7,0,1,0,2.0
0,0.9999998999999999,3,0,0.7361516029999999,1371.0,3,0,1,0,3.0
1,0.427799297,5,0,0.266577807,3000.0,6,1,1,0,0.0
0,0.9999998999999999,7,0,0.08816578800000001,5500.0,2,0,0,0,0.0
0,0.018673496,7,0,0.050757070999999994,10500.0,10,0,1,0,0.0
0,0.826826933,5,5,0.25528511,8750.0,9,0,1,1,0.0
0,0.017128262,6,0,0.536643899,5416.0,10,0,1,0,0.0
0,0.9999998999999999,5,0,0.14476139699999999,3750.0,2,0,0,0,0.0
0,0.007026869,5,0,0.30071599,9636.0,5,0,2,0,2.0
0,0.763425935,5,1,0.411579185,4438.0,12,0,0,0,1.0
0,0.041075929,5,0,0.22205984199999998,13000.0,19,0,3,0,0.0
0,0.031407662999999995,5,2,0.347061176,2500.0,9,0,1,0,0.0
0,0.074330748,5,0,0.12171507599999999,5060.0,9,0,0,0,0.0
0,0.009099266,8,1,783.0,0.0,8,0,1,0,0.0
0,0.596680664,5,2,0.315108856,6108.0,5,0,1,0,0.0
0,0.737145603,5,0,0.9040090340000001,7083.0,13,0,2,0,0.0
0,0.059812744,6,0,0.007304883000000001,2600.0,6,0,0,0,0.0
0,0.033635231,4,0,0.170817807,5098.0,5,0,1,0,2.0
0,0.022784089,6,0,0.06133870599999999,4466.0,6,0,1,0,0.0
0,0.410244165,2,0,0.209622427,7918.0,10,0,1,0,0.0
0,0.7690119320000001,4,4,0.637272403,2800.0,9,0,0,0,3.0
0,0.015999562,5,0,0.06491633,3465.0,4,0,0,0,0.0
0,0.825130452,5,0,0.394190634,17488.0,7,0,2,0,0.0
0,0.0,8,0,0.0,3600.0,4,0,0,0,0.0
0,0.9999998999999999,5,1,0.6364019089999999,7125.0,6,0,1,0,0.0
0,0.052268768,7,0,0.143978267,3312.0,3,0,0,0,0.0
0,0.0,7,0,0.158581116,5750.0,12,0,2,0,0.0
0,0.04938166099999999,6,0,0.904849192,6000.0,20,0,4,0,0.0
0,0.308487617,3,1,0.192076945,10500.0,30,0,2,0,0.0
0,0.111725885,4,0,0.263770224,5500.0,3,0,0,0,3.0
1,0.8582054859999999,4,0,0.024877832000000002,2250.0,6,0,0,1,1.0
0,0.85359872,8,0,0.583854036,4000.0,12,0,2,0,0.0
0,0.5186068970000001,3,0,0.35058875799999994,4500.0,7,1,1,0,2.0
0,0.008036425,6,0,0.18768669100000002,6025.0,12,0,2,0,0.0
0,0.021493399,5,0,0.261459923,19000.0,13,0,2,0,0.0
0,0.698132365,4,0,470.5,1.0,6,0,0,0,2.0
0,0.571372848,6,0,0.43061994600000003,9274.0,10,0,1,0,0.0
1,0.0,4,1,0.17487086,6581.0,9,0,1,1,0.0
0,0.475195274,7,2,0.992254924,4518.0,16,0,2,0,0.0
0,0.0,3,0,0.745109404,6900.0,6,0,4,0,0.0
0,0.002169974,4,0,0.000344768,5800.0,9,0,0,0,1.0
0,0.102877568,4,0,0.601637493,7083.0,15,0,2,0,1.0
0,0.352920416,5,0,0.656079988,6800.0,6,0,2,0,1.0
0,0.02384798,7,0,0.011759058999999999,4166.0,10,0,0,0,0.0
0,0.337470641,5,0,0.33987603299999997,2903.0,13,0,1,0,4.0
1,0.534616346,4,0,0.051985147,3500.0,3,0,0,0,0.0
0,0.10222244400000001,5,0,0.16463454,15500.0,5,0,1,0,1.0
0,0.0,5,0,0.125850891,12339.0,5,0,2,0,1.0
0,0.6073926070000001,2,0,0.067572971,2500.0,3,0,0,0,0.0
0,0.866614867,4,3,0.7890517640000001,4365.0,4,0,1,1,3.0
0,0.198829886,5,0,2.8018318069999997,1200.0,9,0,3,0,0.0
0,0.018773586000000002,5,0,0.380561944,10000.0,10,0,2,0,0.0
0,0.0,6,0,0.20007775,15433.0,7,0,2,0,1.0
0,0.264120389,4,1,0.158536585,6395.0,12,0,0,0,0.0
0,0.0024970739999999997,3,0,0.18392504899999998,6083.0,8,0,1,0,2.0
0,0.042742003,5,0,0.113058762,21050.0,12,0,2,0,2.0
0,0.022069181,4,0,0.481551845,10000.0,7,0,2,0,2.0
0,0.002525784,5,0,0.174495378,5300.0,5,1,0,0,0.0
0,0.073487327,6,0,0.216436495,8833.0,13,0,1,0,1.0
0,0.136145947,6,0,0.054787718,12082.0,12,0,0,0,2.0
0,0.028317735,5,0,0.032048442,6770.0,3,0,0,0,1.0
0,0.0067074859999999995,4,0,0.75475752,3257.0,6,0,1,0,3.0
0,0.033349925,4,0,0.215040135,7100.0,5,0,1,0,0.0
0,0.510158375,6,0,0.261183913,6638.0,10,0,1,0,1.0
0,0.259730764,6,1,0.501488498,3694.0,11,0,3,0,0.0
0,0.597302671,5,0,0.312645462,11600.0,5,0,2,0,3.0
0,0.057117197,4,0,0.41594220600000004,8166.0,7,0,2,0,3.0
0,0.037639921,7,0,0.009427674,10500.0,12,0,0,0,0.0
0,0.21955042,5,0,0.315983758,5417.0,20,0,2,0,1.0
0,0.7850991270000001,4,3,0.512883344,13466.0,11,0,4,0,2.0
0,0.019498101,5,0,0.577829278,7766.0,15,0,2,0,2.0
0,0.08367783,4,0,1246.0,0.0,17,0,1,0,3.0
0,0.044887642,5,0,0.023488256000000002,2000.0,2,0,0,0,0.0
0,1.1335465809999998,2,0,0.046678372999999995,6833.0,2,0,0,0,0.0
0,0.586610799,4,0,0.125249833,1500.0,3,0,0,0,0.0
0,0.02324172,6,0,0.0037186740000000004,6184.0,2,0,0,0,0.0
0,0.8659705529999999,6,0,0.8408864540000001,4015.0,9,0,2,0,0.0
0,0.33669029,6,0,0.212668198,9140.0,8,0,2,0,1.0
0,0.25422130800000003,4,0,0.642098046,5833.0,11,0,3,0,2.0
